UTC;00
CET;1
EET;2
BT;3
ZP4;4
ZP5;5
ZP6;6
CXT;7
CCT;8
JST;9
IDLE;12
WAT;-1
AT;-2
AST;-4
EST;-5
CST;-6
MST;-7
PST;-8
AKST;-9
HST;-10
NT;-11
IDLW;-12
